,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0,1,2012-07-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.94400100000001,375.4750025,372.55999799999995,351.7939935,300.29999,254.552499,246.86800000000002,170.70750000000004,146.5095,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2012-07-13 00:00:00,0.0,0.0,70.26249995,74.0595,0.0,0.0,0.0,76.5334997,274.0825,373.26599999999996,372.12949799999996,373.424002,375.30800050000005,374.87549950000005,296.0195,320.79599750000006,232.411,77.40749989999999,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2012-07-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,111.20350005,101.07150050000001,208.87349890000002,441.7554985,390.679001,379.122501,378.18600150000003,292.443999,288.2545,292.68300000000005,233.8335,74.68099980000001,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2012-07-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,65.761,125.1715,270.42849995,410.26250400000004,393.5429985,369.773499,275.0644995,231.9660002,261.03000000000003,257.18550000000005,196.398,0.0,0.0,54.062,62.6875,0.0,0.0,0.0
4,1,2012-07-18 00:00:00,0.0,0.0,0.0,0.0,0.0,148.54549995000002,14.083499999999997,0.0,133.77750025,406.73550149999994,354.2805015,337.278001,302.5625,285.06600149999997,249.8915,238.8315,200.13400000000004,32.72399995,2.62199995,0.0,0.0,0.0,0.0,0.0
5,1,2012-07-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,61.1505,164.56300000000002,263.25150060000004,416.8740005,389.5960005,384.802001,318.9169995000001,288.08750000000003,283.1915,288.42449999999997,217.2495,71.67549960000001,0.0,0.0,0.0,0.0,0.0,0.0
6,1,2012-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.8705000000000003,172.615,286.5859995,386.706001,375.7324995,381.15799949999996,339.16949999999997,246.70199999999997,222.17700000000002,222.053,140.1425,0.0,0.0,0.0,94.36099999999999,79.46600000000001,0.0,0.0
7,1,2012-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3204998,309.9645035,446.1929995,431.29149800000005,402.332502,351.509501,298.198,255.222,256.1065,139.538,0.0,23.633000000000003,137.6945,0.0,0.0,0.0,130.5930001
8,1,2012-07-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.862999949999995,308.09650009999996,387.9804995,387.6180025,406.4790005,394.78249999999997,388.89700100000005,387.3075035,267.0304985,30.07600005,0.0,0.0,0.0,32.3605,86.4585,0.0,0.0
9,1,2012-07-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.993,310.730003,408.320002,404.65049899999997,418.942502,420.070502,362.18699899999996,304.451,298.66900000000004,168.67750000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,2012-10-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.2809985,263.28299815,323.581501,429.23650250000003,403.4395005,343.07300200000003,269.0075,294.467,288.495,269.03,213.17450005,95.9375,0.0,0.0,0.0,0.0,0.0,78.81649995000001
11,1,2012-10-18 00:00:00,132.87449999999998,5.127999999999999,182.0185,12.946000000000002,116.20549995,88.5385,62.185,263.316501,346.45850099999996,287.923002,254.25650000000002,280.805,289.81350000000003,272.87300000000005,258.90150000000006,263.668,216.9684999,124.04000000000002,0.0,0.0,81.49900005,72.92749985,0.0,0.0
12,1,2012-10-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.076499999999996,210.00799999999998,311.13249950000005,423.9079980000001,406.06599850000003,399.077,361.85549849999995,314.256501,286.252,306.90000000000003,233.484,0.0,0.0,0.0,96.61200000000002,18.936,0.0,0.0
13,1,2012-10-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,33.068499800000005,235.281,311.3065,416.84900000000005,398.820498,390.96149949999995,282.7389995,276.81050000000005,279.596,300.013,227.64750005000002,101.9200001,0.0,0.0,100.02699995,52.55549999999999,0.0,0.0
14,1,2012-10-23 00:00:00,15.1975,148.736,0.0,15.374,153.2075,0.0,48.4175,240.75150000000002,320.11849950000004,414.405999,405.0735015,367.819996,358.57650000000007,266.3994995,239.89450000000002,231.157,138.96200000000002,64.9270001,95.54149999999998,185.3285,103.1885,0.0,152.57299999999998,31.934
15,1,2012-10-24 00:00:00,0.0,170.10899999999998,11.19000005,0.0,179.10400020000003,0.0,50.3025,266.7315,403.53299999999996,443.612998,423.488501,414.1624985,270.94649949999996,249.47700000000003,256.1235,268.86850000000004,201.24399999999997,0.0,0.0,0.0,162.306,43.802,14.0764998,162.21550000000002
16,1,2012-10-25 00:00:00,0.0,0.0,0.0,0.0,121.98499995,0.0,21.25600015,240.91500000000002,418.5034995000001,467.065998,455.78399850000005,411.82750200000004,383.6780015,347.4124975,198.689,68.04899950000001,185.53099999999998,53.6144999,116.01850000000002,0.0,0.0,88.95049995,32.562999999999995,0.0
17,1,2012-11-10 00:00:00,172.13400000000001,6.182,0.0,134.6275,42.369,0.0,95.51149985,93.51700000000001,0.0,203.9035,307.31600000000003,271.7955,242.71550000000002,216.03050000000002,209.43449990000002,187.55700000000002,181.545,155.22950000000003,5.317,187.5765,26.413000100000005,0.0,160.34749979999998,19.883499999999998
18,1,2012-11-11 00:00:00,0.0,157.85850010000001,20.0025,0.0,143.28750000000002,41.27600000000001,0.0,92.9805,185.01500000000001,238.8944998,322.1025,303.41200000000003,301.113,297.5195,340.77249900000004,36.586,22.668499999999998,166.352,0.0,144.752,0.0,146.5149998,0.0,90.10499985
19,1,2012-12-08 00:00:00,52.11600005,135.44549999999998,0.0,49.51700005,137.5885,0.0,40.5335,177.39800000000002,0.0,223.17449999999997,271.5055,304.20449999999994,278.0795,269.46700000000004,257.14700000000005,232.3605,150.1885,0.0,86.518,147.33200000000005,0.0,58.867999950000005,144.7295,0.0
