timestampstring,0,1,2,3,4,Time
2012-07-12 00:00:00,,0.0,,,,00:00:00
2012-07-12 01:00:00,,0.0,,,,01:00:00
2012-07-12 02:00:00,,0.0,,,,02:00:00
2012-07-12 03:00:00,,0.0,,,,03:00:00
2012-07-12 04:00:00,,0.0,,,,04:00:00
2012-07-12 05:00:00,,0.0,,,,05:00:00
2012-07-12 06:00:00,,0.0,,,,06:00:00
2012-07-12 07:00:00,,0.0,,,,07:00:00
2012-07-12 08:00:00,,0.0,,,,08:00:00
2012-07-12 09:00:00,,150.94400100000001,,,,09:00:00
2012-07-12 10:00:00,,375.4750025,,,,10:00:00
2012-07-12 11:00:00,,372.55999799999995,,,,11:00:00
2012-07-12 12:00:00,,351.7939935,,,,12:00:00
2012-07-12 13:00:00,,300.29999,,,,13:00:00
2012-07-12 14:00:00,,254.552499,,,,14:00:00
2012-07-12 15:00:00,,246.86800000000002,,,,15:00:00
2012-07-12 16:00:00,,170.70750000000004,,,,16:00:00
2012-07-12 17:00:00,,146.5095,,,,17:00:00
2012-07-12 18:00:00,,0.0,,,,18:00:00
2012-07-12 19:00:00,,0.0,,,,19:00:00
2012-07-12 20:00:00,,0.0,,,,20:00:00
2012-07-12 21:00:00,,0.0,,,,21:00:00
2012-07-12 22:00:00,,0.0,,,,22:00:00
2012-07-12 23:00:00,,0.0,,,,23:00:00
2012-07-13 00:00:00,,0.0,,,,00:00:00
2012-07-13 01:00:00,,0.0,,,,01:00:00
2012-07-13 02:00:00,,70.26249995,,,,02:00:00
2012-07-13 03:00:00,,74.0595,,,,03:00:00
2012-07-13 04:00:00,,0.0,,,,04:00:00
2012-07-13 05:00:00,,0.0,,,,05:00:00
2012-07-13 06:00:00,,0.0,,,,06:00:00
2012-07-13 07:00:00,,76.5334997,,,,07:00:00
2012-07-13 08:00:00,,274.0825,,,,08:00:00
2012-07-13 09:00:00,,373.26599999999996,,,,09:00:00
2012-07-13 10:00:00,,372.12949799999996,,,,10:00:00
2012-07-13 11:00:00,,373.424002,,,,11:00:00
2012-07-13 12:00:00,,375.30800050000005,,,,12:00:00
2012-07-13 13:00:00,,374.87549950000005,,,,13:00:00
2012-07-13 14:00:00,,296.0195,,,,14:00:00
2012-07-13 15:00:00,,320.79599750000006,,,,15:00:00
2012-07-13 16:00:00,,232.411,,,,16:00:00
2012-07-13 17:00:00,,77.40749989999999,,,,17:00:00
2012-07-13 18:00:00,,0.0,,,,18:00:00
2012-07-13 19:00:00,,0.0,,,,19:00:00
2012-07-13 20:00:00,,0.0,,,,20:00:00
2012-07-13 21:00:00,,0.0,,,,21:00:00
2012-07-13 22:00:00,,0.0,,,,22:00:00
2012-07-13 23:00:00,,0.0,,,,23:00:00
2012-07-14 00:00:00,21.59749995,,,,,00:00:00
2012-07-14 01:00:00,125.0495,,,,,01:00:00
2012-07-14 02:00:00,0.0,,,,,02:00:00
2012-07-14 03:00:00,0.0,,,,,03:00:00
2012-07-14 04:00:00,0.0,,,,,04:00:00
2012-07-14 05:00:00,0.0,,,,,05:00:00
2012-07-14 06:00:00,0.0,,,,,06:00:00
2012-07-14 07:00:00,0.0,,,,,07:00:00
2012-07-14 08:00:00,0.0,,,,,08:00:00
2012-07-14 09:00:00,0.0,,,,,09:00:00
2012-07-14 10:00:00,0.0,,,,,10:00:00
2012-07-14 11:00:00,156.0185,,,,,11:00:00
2012-07-14 12:00:00,0.0,,,,,12:00:00
2012-07-14 13:00:00,0.0,,,,,13:00:00
2012-07-14 14:00:00,0.0,,,,,14:00:00
2012-07-14 15:00:00,0.0,,,,,15:00:00
2012-07-14 16:00:00,0.0,,,,,16:00:00
2012-07-14 17:00:00,0.0,,,,,17:00:00
2012-07-14 18:00:00,159.5574999,,,,,18:00:00
2012-07-14 19:00:00,0.0,,,,,19:00:00
2012-07-14 20:00:00,0.0,,,,,20:00:00
2012-07-14 21:00:00,0.0,,,,,21:00:00
2012-07-14 22:00:00,0.0,,,,,22:00:00
2012-07-14 23:00:00,0.0,,,,,23:00:00
2012-07-15 00:00:00,0.0,,,,,00:00:00
2012-07-15 01:00:00,0.0,,,,,01:00:00
2012-07-15 02:00:00,0.0,,,,,02:00:00
2012-07-15 03:00:00,0.0,,,,,03:00:00
2012-07-15 04:00:00,0.0,,,,,04:00:00
2012-07-15 05:00:00,0.0,,,,,05:00:00
2012-07-15 06:00:00,0.0,,,,,06:00:00
2012-07-15 07:00:00,113.25300000000001,,,,,07:00:00
2012-07-15 08:00:00,32.8685,,,,,08:00:00
2012-07-15 09:00:00,0.0,,,,,09:00:00
2012-07-15 10:00:00,0.0,,,,,10:00:00
2012-07-15 11:00:00,0.0,,,,,11:00:00
2012-07-15 12:00:00,0.0,,,,,12:00:00
2012-07-15 13:00:00,0.0,,,,,13:00:00
2012-07-15 14:00:00,0.0,,,,,14:00:00
2012-07-15 15:00:00,0.0,,,,,15:00:00
2012-07-15 16:00:00,0.0,,,,,16:00:00
2012-07-15 17:00:00,0.0,,,,,17:00:00
2012-07-15 18:00:00,111.16,,,,,18:00:00
2012-07-15 19:00:00,23.7865,,,,,19:00:00
2012-07-15 20:00:00,0.0,,,,,20:00:00
2012-07-15 21:00:00,0.0,,,,,21:00:00
2012-07-15 22:00:00,0.0,,,,,22:00:00
2012-07-15 23:00:00,0.0,,,,,23:00:00
2012-07-16 00:00:00,,0.0,,,,00:00:00
2012-07-16 01:00:00,,0.0,,,,01:00:00
2012-07-16 02:00:00,,0.0,,,,02:00:00
2012-07-16 03:00:00,,0.0,,,,03:00:00
2012-07-16 04:00:00,,0.0,,,,04:00:00
2012-07-16 05:00:00,,0.0,,,,05:00:00
2012-07-16 06:00:00,,111.20350005,,,,06:00:00
2012-07-16 07:00:00,,101.07150050000001,,,,07:00:00
2012-07-16 08:00:00,,208.87349890000002,,,,08:00:00
2012-07-16 09:00:00,,441.7554985,,,,09:00:00
2012-07-16 10:00:00,,390.679001,,,,10:00:00
2012-07-16 11:00:00,,379.122501,,,,11:00:00
2012-07-16 12:00:00,,378.18600150000003,,,,12:00:00
2012-07-16 13:00:00,,292.443999,,,,13:00:00
2012-07-16 14:00:00,,288.2545,,,,14:00:00
2012-07-16 15:00:00,,292.68300000000005,,,,15:00:00
2012-07-16 16:00:00,,233.8335,,,,16:00:00
2012-07-16 17:00:00,,74.68099980000001,,,,17:00:00
2012-07-16 18:00:00,,0.0,,,,18:00:00
2012-07-16 19:00:00,,0.0,,,,19:00:00
2012-07-16 20:00:00,,0.0,,,,20:00:00
2012-07-16 21:00:00,,0.0,,,,21:00:00
2012-07-16 22:00:00,,0.0,,,,22:00:00
2012-07-16 23:00:00,,0.0,,,,23:00:00
2012-07-17 00:00:00,,0.0,,,,00:00:00
2012-07-17 01:00:00,,0.0,,,,01:00:00
2012-07-17 02:00:00,,0.0,,,,02:00:00
2012-07-17 03:00:00,,0.0,,,,03:00:00
2012-07-17 04:00:00,,0.0,,,,04:00:00
2012-07-17 05:00:00,,0.0,,,,05:00:00
2012-07-17 06:00:00,,65.761,,,,06:00:00
2012-07-17 07:00:00,,125.1715,,,,07:00:00
2012-07-17 08:00:00,,270.42849995,,,,08:00:00
2012-07-17 09:00:00,,410.26250400000004,,,,09:00:00
2012-07-17 10:00:00,,393.5429985,,,,10:00:00
2012-07-17 11:00:00,,369.773499,,,,11:00:00
2012-07-17 12:00:00,,275.0644995,,,,12:00:00
2012-07-17 13:00:00,,231.9660002,,,,13:00:00
2012-07-17 14:00:00,,261.03000000000003,,,,14:00:00
2012-07-17 15:00:00,,257.18550000000005,,,,15:00:00
2012-07-17 16:00:00,,196.398,,,,16:00:00
2012-07-17 17:00:00,,0.0,,,,17:00:00
2012-07-17 18:00:00,,0.0,,,,18:00:00
2012-07-17 19:00:00,,54.062,,,,19:00:00
2012-07-17 20:00:00,,62.6875,,,,20:00:00
2012-07-17 21:00:00,,0.0,,,,21:00:00
2012-07-17 22:00:00,,0.0,,,,22:00:00
2012-07-17 23:00:00,,0.0,,,,23:00:00
2012-07-18 00:00:00,,0.0,,,,00:00:00
2012-07-18 01:00:00,,0.0,,,,01:00:00
2012-07-18 02:00:00,,0.0,,,,02:00:00
2012-07-18 03:00:00,,0.0,,,,03:00:00
2012-07-18 04:00:00,,0.0,,,,04:00:00
2012-07-18 05:00:00,,148.54549995000002,,,,05:00:00
2012-07-18 06:00:00,,14.083499999999997,,,,06:00:00
2012-07-18 07:00:00,,0.0,,,,07:00:00
2012-07-18 08:00:00,,133.77750025,,,,08:00:00
2012-07-18 09:00:00,,406.73550149999994,,,,09:00:00
2012-07-18 10:00:00,,354.2805015,,,,10:00:00
2012-07-18 11:00:00,,337.278001,,,,11:00:00
2012-07-18 12:00:00,,302.5625,,,,12:00:00
2012-07-18 13:00:00,,285.06600149999997,,,,13:00:00
2012-07-18 14:00:00,,249.8915,,,,14:00:00
2012-07-18 15:00:00,,238.8315,,,,15:00:00
2012-07-18 16:00:00,,200.13400000000004,,,,16:00:00
2012-07-18 17:00:00,,32.72399995,,,,17:00:00
2012-07-18 18:00:00,,2.62199995,,,,18:00:00
2012-07-18 19:00:00,,0.0,,,,19:00:00
2012-07-18 20:00:00,,0.0,,,,20:00:00
2012-07-18 21:00:00,,0.0,,,,21:00:00
2012-07-18 22:00:00,,0.0,,,,22:00:00
2012-07-18 23:00:00,,0.0,,,,23:00:00
2012-07-19 00:00:00,,0.0,,,,00:00:00
2012-07-19 01:00:00,,0.0,,,,01:00:00
2012-07-19 02:00:00,,0.0,,,,02:00:00
2012-07-19 03:00:00,,0.0,,,,03:00:00
2012-07-19 04:00:00,,0.0,,,,04:00:00
2012-07-19 05:00:00,,0.0,,,,05:00:00
2012-07-19 06:00:00,,61.1505,,,,06:00:00
2012-07-19 07:00:00,,164.56300000000002,,,,07:00:00
2012-07-19 08:00:00,,263.25150060000004,,,,08:00:00
2012-07-19 09:00:00,,416.8740005,,,,09:00:00
2012-07-19 10:00:00,,389.5960005,,,,10:00:00
2012-07-19 11:00:00,,384.802001,,,,11:00:00
2012-07-19 12:00:00,,318.9169995000001,,,,12:00:00
